"studentname","address","city","state","postalcode"
"Donna Crane","231-4018 Sed Avenue","Shreveport","LA","71106"
"Dante Levine","844 Scelerisque St.","South Bend","IN","46628"
"Valentine Watts","P.O. Box 454, 8604 Velit Rd.","Henderson","NV","89009"
"Mari Christian","Ap #746-6499 Morbi Road","Little Rock","AR","72204"
"Charde Curtis","8816 Lorem Rd.","Independence","MO","64055"
"Vielka Alvarado","168-5707 Dolor. Ave","West Valley City","UT","84081"
"Steven Collier","866 Aliquet. St.","Lincoln","NE","68503"
"Scott Craft","814 Nunc Street","Las Vegas","NV","89101"
"Erasmus Sloan","Ap #209-258 Ipsum. Rd.","Huntsville","AL","36109"
"Constance Cook","114-543 Vulputate, Avenue","Owensboro","KY","42301"
"Julian Conrad","P.O. Box 462, 1738 Ultricies Rd.","Lafayette","LA","70506"
"Xyla Watts","Ap #804-7317 Enim, St.","Baton Rouge","LA","70802"
"TaShya Brock","424-9661 Magna St.","Norman","OK","73072"
"Keely Mayer","474 Integer Street","Eugene","OR","97401"
"David Becker","9647 Donec Avenue","Lansing","MI","48911"
"Preston Richards","6735 In Av.","Pittsburgh","PA","15122"
"Sylvia Olsen","P.O. Box 785, 8456 Nam Rd.","Seattle","WA","98122"
"Hyatt Mason","693-8469 Metus Rd.","Augusta","GA","30907"
"Macy Solomon","1476 Nam Road","Springfield","MO","65803"
"Elvis White","7368 Vel St.","Portland","ME","04103"
"Berk Cash","6160 Vitae St.","Columbus","OH","43085"
"Jessica Justice","Ap #639-6646 Semper Ave","North Las Vegas","NV","89030"
"Ebony Carney","957-3277 Vel Street","Cleveland","OH","44102"
"Isabelle Heath","Ap #793-6314 Leo, St.","South Burlington","VT","05403"
"Quintessa Best","Ap #792-495 Metus Ave","Norman","OK","73072"
"Xenos Houston","P.O. Box 975, 406 Varius. Ave","Portland","OR","97086"
"Gray Alvarez","Ap #417-2732 Nonummy. Avenue","Evansville","IN","47715"
"Lucius Guerrero","739 Habitant Ave","Missoula","MT","59801"
"Zephr Allison","167-2291 Tellus Ave","Pocatello","ID","83201"
"Beverly Mason","P.O. Box 363, 685 Purus Road","Hartford","CT","06106"
"Germaine Glenn","Ap #637-2969 Nisi St.","Memphis","TN","38104"
"Lenore Carrillo","631-2164 Nullam Av.","Bellevue","NE","68005"
"Lee Lee","6365 Dolor. Road","Broken Arrow","OK","74102"
"Cedric Anderson","Ap #297-8990 Aliquam Rd.","Sioux City","IA","51106"
"Marcia Roberson","181-9502 Enim St.","Huntsville","AL","36109"
"Steel Santana","698-6438 Aliquam Rd.","San Antonio","TX","78201"
"Emerson Koch","5537 Auctor St.","Montgomery","AL","36134"
"Alexander Bruce","Ap #520-3813 Lectus St.","Tulsa","OK","74105"
"Ila Simmons","633-9020 Nec St.","Honolulu","HI","96817"
"Lance Velazquez","P.O. Box 766, 6502 Posuere Rd.","Richmond","VA","23218"
"Plato Frank","P.O. Box 698, 1819 Aliquet Street","Chattanooga","TN","37415"
"Brynn Macias","P.O. Box 614, 3155 Nunc Road","New Orleans","LA","70118"
"Herman Porter","9005 Blandit Road","Metairie","LA","70001"
"Jenette Castro","2811 Iaculis Street","Minneapolis","MN","55411"
"Nicholas William","4458 Tempor St.","Salem","OR","97302"
"Grace Williamson","9741 Hendrerit Avenue","Fort Wayne","IN","46825"
"Arsenio Pierce","903 Magna Street","Bangor","ME","04401"
"Connor Mcdaniel","Ap #212-5254 Nostra, Avenue","Anchorage","AK","99502"
"Aline Zamora","P.O. Box 816, 2943 Non Ave","Toledo","OH","43605"
"Clark Britt","7974 Penatibus Rd.","Baton Rouge","LA","70802"
"Odette Chaney","811-9498 Arcu. Ave","Gulfport","MS","39503"
"Wesley Peck","P.O. Box 744, 1113 Rutrum, Street","Casper","WY","82601"
"Lester Kaufman","7193 A, Avenue","Springdale","AR","72762"
"Donovan Nguyen","Ap #968-9376 Nibh. Avenue","Butte","MT","59701"
"Sade Donaldson","Ap #728-7189 Lorem, Road","Little Rock","AR","72204"
"Oleg Greer","Ap #963-1486 A Ave","Salt Lake City","UT","84107"
"Chancellor Rowe","6279 Lorem Road","Lincoln","NE","68503"
"Yuri White","P.O. Box 807, 8452 Tortor. Avenue","Lakewood","CO","80120"
"Risa Navarro","416-4257 Malesuada Street","Madison","WI","53701"
"Declan Mcconnell","P.O. Box 155, 3562 Laoreet Av.","Bear","DE","19701"
"Lev Anderson","Ap #533-4466 Proin Av.","Gaithersburg","MD","20878"
"Sylvester Howell","Ap #825-7237 Nullam St.","Portland","OR","97086"
"Jackson Dixon","5956 In Av.","Springfield","MO","65803"
"Zelenia Tyler","796-4222 Est. St.","Cheyenne","WY","82001"
"Akeem Knowles","Ap #782-7248 Vivamus Av.","Kenosha","WI","53140"
"Evangeline Franklin","5352 Velit. Av.","Grand Island","NE","68801"
"Whitney Tanner","8039 Id, Avenue","Bloomington","MN","55404"
"Adrian Martin","P.O. Box 803, 9557 Vestibulum, Avenue","Biloxi","MS","39531"
"Madaline Mclean","P.O. Box 349, 6402 Malesuada St.","Minneapolis","MN","55411"
"Fleur Allen","3574 A, St.","Columbia","MD","21044"
"Abraham Murphy","Ap #390-3386 Auctor, Rd.","Juneau","AK","99801"
"Drake Diaz","Ap #857-532 Dolor St.","Norfolk","VA","23502"
"Sage Fields","489-5358 Parturient St.","Houston","TX","77003"
"Lane Holt","Ap #861-9412 Fermentum Road","Montgomery","AL","35857"
"Bell Tyson","Ap #326-384 Morbi Ave","Jefferson City","MO","65101"
"Xandra Manning","6568 Euismod Rd.","Idaho Falls","ID","83401"
"Yasir Morton","539-7135 Aliquam Av.","Jonesboro","AR","72401"
"Harper Carey","493-9850 Eu, Av.","Oklahoma City","OK","73112"
"Morgan Hendricks","9278 Eget Rd.","West Jordan","UT","84081"
"Yen Knox","P.O. Box 845, 9073 Nisi. Street","Kailua","HI","96706"
"Jade Kennedy","Ap #643-8118 Curabitur Av.","Bangor","ME","04401"
"Erica Hebert","884-7799 Accumsan Rd.","Kaneohe","HI","96744"
"Akeem Knox","299-4104 Interdum Rd.","Juneau","AK","99801"
"Kimberley Taylor","543-3559 Pharetra Rd.","Tuscaloosa","AL","35401"
"Philip Ratliff","500-937 Velit Street","Aurora","CO","80010"
"Ursula Oneill","722-6118 Dolor Street","Springdale","AR","72762"
"Lester Summers","279-7616 Ultrices. Avenue","Grand Island","NE","68801"
"Isaiah Bolton","8826 Maecenas St.","Erie","PA","16506"
"Xantha Stanton","P.O. Box 223, 1495 Aliquam Rd.","Madison","WI","53701"
"Larissa Clemons","918-1014 Nunc Av.","Naperville","IL","60540"
"Camille Rose","837-9297 Tempor, St.","Duluth","MN","55811"
"Nevada Black","9768 Neque Avenue","Newport News","VA","23601"
"Madeline Mullen","5115 Urna Road","Portland","OR","97086"
"Lucius Haynes","P.O. Box 931, 5516 Felis Avenue","Gulfport","MS","39503"
"Darius Strickland","9677 Dictum St.","Madison","WI","53701"
"Dorian Warren","3250 Rhoncus. Rd.","Detroit","MI","48210"
"Elvis Knowles","Ap #464-2199 Molestie Road","Chattanooga","TN","37415"
"Byron Cain","115-3628 Id, Av.","Tucson","AZ","85710"
"Nita Cobb","519-1466 Vestibulum. Street","San Francisco","CA","94110"
"Aristotle Richardson","153-1884 Ipsum. Avenue","Evansville","IN","47715"
"Kane Nash","Ap #321-6581 Ullamcorper Rd.","Bellevue","WA","98004"
"Pearl Wyatt","2784 Cursus St.","Anchorage","AK","99502"
"Edward Hudson","Ap #875-4509 Vulputate, Rd.","San Jose","CA","95116"
"Thane Waters","808-1689 Sodales Road","Kapolei","HI","96707"
"Gloria Chandler","201-5439 Erat, Rd.","Salem","OR","97302"
"Thomas Rosales","636-7875 Sed Rd.","Gulfport","MS","39503"
"Clarke Petty","Ap #329-5624 Mollis. St.","Augusta","ME","04330"
"Uma Craft","781-4912 Sit St.","Annapolis","MD","21401"
"Jada Flowers","927-840 Luctus Rd.","Lincoln","NE","68503"
"Joel Mcconnell","P.O. Box 683, 8970 Ridiculus Rd.","Columbia","MD","21044"
"Alfreda Slater","P.O. Box 412, 5178 Luctus Street","Boise","ID","83702"
"Athena Watts","6737 Nisi St.","Biloxi","MS","39531"
"Akeem Baldwin","P.O. Box 287, 4650 Arcu Rd.","Naperville","IL","60540"
"Asher Reid","988-8427 Ac Road","Gresham","OR","97030"
"Howard Fry","P.O. Box 144, 6576 Nullam St.","Miami","FL","33125"
"Kerry Garza","Ap #418-1334 Sit Rd.","Columbia","MO","65201"
"Merrill Nielsen","8455 Nunc Street","Wilmington","DE","81314"
"Mechelle Bryan","P.O. Box 870, 4470 Tellus. Ave","Huntsville","AL","36109"
"Faith Larsen","8692 Lacinia Rd.","Sioux City","IA","51106"
"Hoyt Moore","P.O. Box 411, 7570 Ante Ave","Chandler","AZ","85225"
"Hunter Andrews","9220 Est, Rd.","Frankfort","KY","40601"
"Vivien Mckee","8769 Id Rd.","Kapolei","HI","96707"
"Odessa Leblanc","972-6860 Nam Rd.","Minneapolis","MN","55411"
"Prescott Golden","743-7737 Malesuada St.","Aurora","IL","60506"
"Hedda Lyons","P.O. Box 797, 6192 Natoque St.","Lincoln","NE","68503"
"Mufutau Solomon","123 Dis Ave","Jonesboro","AR","72401"
"Callie Puckett","2462 Fermentum Avenue","Casper","WY","82601"
"Oscar Bullock","8974 Orci Av.","Olathe","KS","66061"
"Vincent Dejesus","P.O. Box 838, 9522 Pretium Avenue","Cincinnati","OH","45219"
"Ima Daugherty","P.O. Box 276, 2851 Conubia St.","Hilo","HI","21654"
"Herman Howell","3848 Non, Av.","College","AK","99802"
"Uma Lester","8997 Sit St.","Topeka","KS","66614"
"Aimee Brennan","Ap #634-8207 Morbi Road","Rutland","VT","05701"
"Zahir Beasley","1249 Parturient Avenue","Athens","GA","30601"
"Chaney Drake","2563 Et, Av.","Vancouver","WA","98682"
"Wanda Stafford","8797 Luctus Rd.","Biloxi","MS","39531"
"Libby Ryan","P.O. Box 504, 4894 Fermentum Road","Las Vegas","NV","89101"
"Samantha Dickson","Ap #179-5842 Enim Av.","South Burlington","VT","05403"
"Keefe Goodman","Ap #960-5231 Fermentum Ave","Clarksville","TN","37040"
"Keefe Ball","P.O. Box 893, 5024 Maecenas Ave","Chesapeake","VA","23320"
"Naomi Tucker","852 Quisque Street","Tallahassee","FL","32301"
"Ella Rowland","P.O. Box 194, 6002 Vivamus St.","Duluth","MN","55811"
"Margaret Kemp","1050 Consectetuer Rd.","Hillsboro","OR","54017"
"Alden Lindsey","5561 Ut Avenue","Joliet","IL","60403"
"Hadassah Vazquez","5606 Quisque St.","Ketchikan","AK","99901"
"Kirk Petersen","P.O. Box 181, 5742 Feugiat Street","Tacoma","WA","98404"
"Tyrone Paul","Ap #434-3040 Lacinia. Street","Des Moines","IA","50310"
"Herrod Heath","1255 In St.","South Burlington","VT","05403"
"Aristotle Hull","747-7683 Donec Rd.","Shreveport","LA","71106"
"Shelley Wallace","725-3108 Sed Av.","Lakewood","CO","80120"
"Martha Watson","Ap #730-2274 Lobortis, St.","Broken Arrow","OK","74102"
"Basil Keith","Ap #276-3028 Primis Street","Pike Creek","DE","21018"
"Troy Wiggins","Ap #369-9324 Diam St.","San Francisco","CA","94110"
"Carly Stevenson","665-9449 Facilisi. Rd.","Warren","MI","48088"
"Clio Morton","P.O. Box 978, 7873 Nullam St.","Naperville","IL","60540"
"Axel Ray","Ap #479-7996 Ac, Rd.","Metairie","LA","70001"
"Wilma Casey","P.O. Box 641, 7554 Mauris. Street","Anchorage","AK","99502"
"Latifah White","407-7034 Donec Ave","Los Angeles","CA","90011"
"Reuben Obrien","360-9346 Lacus. Rd.","Davenport","IA","52803"
"Rebekah Espinoza","7456 Non, Ave","Paradise","NV","89426"
"Cooper Noble","P.O. Box 734, 6071 Mauris Av.","Kearney","NE","68845"
"Thane Banks","447 In St.","Carson City","NV","89701"
"Mia Gonzalez","9903 Cras Street","Saint Louis","MO","63109"
"Wendy Padilla","451-3658 Nulla Avenue","Naperville","IL","60540"
"Uta Bender","4878 Ac, Rd.","Cleveland","OH","44102"
"Freya Skinner","8167 Nibh. Ave","Gary","IN","46410"
"Unity Franco","569-7792 Quam Rd.","Rochester","MN","55901"
"Nash Holland","P.O. Box 285, 2128 Ullamcorper, Road","Reno","NV","89502"
"Austin Calderon","272-8018 Magna Ave","Phoenix","AZ","85022"
"Aphrodite Vega","Ap #239-1677 Urna. Avenue","Grand Island","NE","68801"
"Camille Powers","P.O. Box 388, 2549 Malesuada Av.","Huntsville","AL","36109"
"Clayton Williamson","P.O. Box 861, 4729 Vel, Rd.","Louisville","KY","40211"
"Calvin Dunlap","P.O. Box 985, 7003 Nulla St.","Worcester","MA","06104"
"Bevis Howe","230-7037 Quam Rd.","Springfield","MO","65803"
